Date,Open,High,Low,Close,Adj Close,Volume
1980-12-08,0.128348,0.128906,0.128348,0.128348,0.100922,469033600
1980-12-15,0.122210,0.126674,0.112723,0.126116,0.099167,490134400
1980-12-22,0.132254,0.159040,0.132254,0.158482,0.124617,187891200
1980-12-29,0.160714,0.161272,0.152344,0.154018,0.121107,219452800
1981-01-05,0.151228,0.151228,0.135045,0.142299,0.111892,197904000
1981-01-12,0.142299,0.142299,0.136161,0.138393,0.108820,88502400
1981-01-19,0.146763,0.147879,0.142299,0.146205,0.114963,134332800
1981-01-26,0.144531,0.144531,0.126116,0.126116,0.099167,166588800
1981-02-02,0.119420,0.128906,0.118862,0.128348,0.100922,92579200
1981-02-09,0.122768,0.122768,0.113839,0.113839,0.089513,74659200
1981-02-16,0.116629,0.122768,0.108259,0.108259,0.085126,78198400
1981-02-23,0.109933,0.119420,0.106027,0.118304,0.093024,76182400
1981-03-02,0.118862,0.119420,0.114397,0.114397,0.089952,58620800
1981-03-09,0.106027,0.106027,0.096540,0.099330,0.078105,364112000
1981-03-16,0.103237,0.116071,0.103237,0.114955,0.090391,170329600
1981-03-23,0.119420,0.120536,0.110491,0.110491,0.086881,81760000
1981-03-30,0.110491,0.118862,0.108259,0.118304,0.093024,107856000
1981-04-06,0.116629,0.125000,0.114955,0.124442,0.097851,101404800
1981-04-13,0.124442,0.125000,0.111607,0.111607,0.087758,80640000
1981-04-20,0.114955,0.131138,0.114955,0.129464,0.101799,175952000
1981-04-27,0.128906,0.128906,0.124442,0.126674,0.099606,113523200
1981-05-04,0.126674,0.126674,0.122210,0.125000,0.098289,68208000
1981-05-11,0.122768,0.124442,0.119978,0.122768,0.096534,30934400
1981-05-18,0.125000,0.141183,0.122768,0.140067,0.110137,106512000
1981-05-25,0.140067,0.148438,0.139509,0.147879,0.116279,368211200
1981-06-01,0.147879,0.148438,0.140625,0.141183,0.111014,244876800
1981-06-08,0.136719,0.147321,0.136161,0.145089,0.114086,303094400
1981-06-15,0.145089,0.145089,0.135045,0.135045,0.106188,259145600
1981-06-22,0.130580,0.133371,0.128906,0.130022,0.102238,96947200
1981-06-29,0.126674,0.126674,0.114955,0.114955,0.090391,247251200
1981-07-06,0.112165,0.117188,0.099330,0.099330,0.078105,137043200
1981-07-13,0.101563,0.116071,0.101563,0.115513,0.090830,111529600
1981-07-20,0.108259,0.108259,0.101004,0.107143,0.084248,141568000
1981-07-27,0.111607,0.112165,0.106027,0.111607,0.087758,76540800
1981-08-03,0.111607,0.116071,0.110491,0.112723,0.088636,81334400
1981-08-10,0.110491,0.110491,0.102121,0.102121,0.080299,149408000
1981-08-17,0.099888,0.099888,0.089844,0.089844,0.070646,115606400
1981-08-24,0.084821,0.090402,0.084263,0.089844,0.070646,161324800
1981-08-31,0.089844,0.097656,0.089844,0.090960,0.071523,150080000
1981-09-07,0.088728,0.089286,0.087612,0.087612,0.068891,108326400
1981-09-14,0.085379,0.085379,0.078683,0.079241,0.062308,112246400
1981-09-21,0.079799,0.080357,0.063616,0.063616,0.050022,177564800
1981-09-28,0.064174,0.074219,0.064174,0.073661,0.057921,342585600
1981-10-05,0.075893,0.084263,0.075335,0.083147,0.065380,195910400
1981-10-12,0.085938,0.087054,0.080915,0.081473,0.064063,168425600
1981-10-19,0.083147,0.088170,0.083147,0.084821,0.066696,193401600
1981-10-26,0.084821,0.089844,0.084821,0.089286,0.070207,240262400
