date	population
Mar 1, 2005 	294.56 million
Feb 1, 2005 	294.38 million
Jan 1, 2005 	294.23 million
Dec 1, 2004 	294.02 million
Nov 1, 2004 	293.80 million
Oct 1, 2004 	293.57 million
Sep 1, 2004 	293.31 million
Aug 1, 2004 	293.06 million
Jul 1, 2004 	292.81 million
Jun 1, 2004 	292.57 million
May 1, 2004 	292.35 million
Apr 1, 2004 	292.11 million
Mar 1, 2004 	291.89 million
Feb 1, 2004 	291.72 million
Jan 1, 2004 	291.55 million
Dec 1, 2003 	291.36 million
Nov 1, 2003 	291.16 million
Oct 1, 2003 	290.92 million
Sep 1, 2003 	290.66 million
Aug 1, 2003 	290.39 million
Jul 1, 2003 	290.11 million
Jun 1, 2003 	289.82 million
May 1, 2003 	289.55 million
Apr 1, 2003 	289.40 million
Mar 1, 2003 	289.26 million
Feb 1, 2003 	289.13 million
Jan 1, 2003 	289.00 million
Dec 1, 2002 	288.80 million
Nov 1, 2002 	288.61 million
Oct 1, 2002 	288.38 million
Sep 1, 2002 	288.13 million
Aug 1, 2002 	287.87 million
Jul 1, 2002 	287.63 million
Jun 1, 2002 	287.39 million
May 1, 2002 	287.15 million
Apr 1, 2002 	286.93 million
Mar 1, 2002 	286.72 million
Feb 1, 2002 	286.54 million
Jan 1, 2002 	286.34 million
Dec 1, 2001 	286.14 million
Nov 1, 2001 	285.92 million
Oct 1, 2001 	285.69 million
Sep 1, 2001 	285.49 million
Aug 1, 2001 	285.22 million
Jul 1, 2001 	284.97 million
Jun 1, 2001 	284.73 million
May 1, 2001 	284.49 million
Apr 1, 2001 	284.27 million
Mar 1, 2001 	284.05 million
Feb 1, 2001 	283.84 million
Jan 1, 2001 	283.65 million
Dec 1, 2000 	283.44 million
Nov 1, 2000 	283.20 million
Oct 1, 2000 	282.96 million
Sep 1, 2000 	282.69 million
Aug 1, 2000 	282.42 million
Jul 1, 2000 	282.16 million
Jun 1, 2000 	281.89 million
May 1, 2000 	281.64 million
Apr 1, 2000 	281.42 million
Mar 1, 2000 	281.16 million
Feb 1, 2000 	280.94 million
Jan 1, 2000 	280.73 million
Dec 1, 1999 	280.47 million
Nov 1, 1999 	280.22 million
Oct 1, 1999 	279.95 million
Sep 1, 1999 	279.65 million
Aug 1, 1999 	279.35 million
Jul 1, 1999 	279.04 million
Jun 1, 1999 	278.75 million
May 1, 1999 	278.46 million
Apr 1, 1999 	278.20 million
Mar 1, 1999 	277.94 million
Feb 1, 1999 	277.74 million
Jan 1, 1999 	277.53 million
Dec 1, 1998 	277.27 million
Nov 1, 1998 	277.02 million
Oct 1, 1998 	276.75 million
Sep 1, 1998 	276.45 million
Aug 1, 1998 	276.16 million
Jul 1, 1998 	275.85 million
Jun 1, 1998 	275.57 million
May 1, 1998 	275.30 million
Apr 1, 1998 	275.04 million
Mar 1, 1998 	274.78 million
Feb 1, 1998 	274.58 million
Jan 1, 1998 	274.37 million
