DATE,USALORSGPNOSTSAM
1992-12-01,99.8397706093186
1993-01-01,99.774116958416
1993-02-01,99.6945495976002
1993-03-01,99.6148265820692
1993-04-01,99.5429643295076
1993-05-01,99.4845706541369
1993-06-01,99.4454391146801
1993-07-01,99.4330068700331
1993-08-01,99.4542786853347
1993-09-01,99.5116774260649
1993-10-01,99.5962804540874
1993-11-01,99.6955697534343
1993-12-01,99.7989891893668
1994-01-01,99.902238248544
1994-02-01,100.003746668232
1994-03-01,100.100940371936
1994-04-01,100.186411160832
1994-05-01,100.251961229922
1994-06-01,100.293270920175
1994-07-01,100.315760724402
1994-08-01,100.327063923411
1994-09-01,100.330669694785
1994-10-01,100.320215024756
1994-11-01,100.285342169656
1994-12-01,100.218359465799
1995-01-01,100.122416848906
1995-02-01,100.006362396958
1995-03-01,99.8815413210964
1995-04-01,99.7599287935176
1995-05-01,99.6517101392071
1995-06-01,99.5625427394014
1995-07-01,99.489755793243
1995-08-01,99.4278907012006
1995-09-01,99.3728592523675
1995-10-01,99.3251336016866
1995-11-01,99.2890606563392
1995-12-01,99.2715114463386
1996-01-01,99.279558196317
1996-02-01,99.31813823749
1996-03-01,99.3857194715864
1996-04-01,99.4675798948192
1996-05-01,99.5448670514908
1996-06-01,99.6024104191153
1996-07-01,99.6366562055865
1996-08-01,99.6502106873989
1996-09-01,99.6478754543752
1996-10-01,99.6340169133123
1996-11-01,99.6138718081407
1996-12-01,99.5955361663304
1997-01-01,99.5922693811664
1997-02-01,99.617065302357
1997-03-01,99.676075273121
1997-04-01,99.7599052998731
1997-05-01,99.8523171640259
1997-06-01,99.9369603683798
1997-07-01,100.003352623488
1997-08-01,100.045728436036
1997-09-01,100.063078870645
1997-10-01,100.060795873382
1997-11-01,100.046582318561
1997-12-01,100.027726155666
1998-01-01,100.009208198884
1998-02-01,99.9950417064623
1998-03-01,99.9895573041528
1998-04-01,99.998353312162
1998-05-01,100.027356110047
1998-06-01,100.08085876417
1998-07-01,100.158108684332
1998-08-01,100.254734497917
1998-09-01,100.362436207843
1998-10-01,100.467262670767
1998-11-01,100.554584091735
1998-12-01,100.614271079577
1999-01-01,100.647119460741
1999-02-01,100.66045087638
1999-03-01,100.66566867397
1999-04-01,100.677281889371
1999-05-01,100.709263233907
1999-06-01,100.77107047661
1999-07-01,100.862306103046
1999-08-01,100.97616364456
1999-09-01,101.100796136377
1999-10-01,101.21911876056
1999-11-01,101.316043301931
1999-12-01,101.386246180513
2000-01-01,101.443513114347
2000-02-01,101.505772666402
2000-03-01,101.581172900468
2000-04-01,101.653923678639
2000-05-01,101.698830652993
2000-06-01,101.696100540939
2000-07-01,101.648181446391
2000-08-01,101.566474984156
2000-09-01,101.461420433415
2000-10-01,101.335229135516
2000-11-01,101.186343117337
2000-12-01,101.015531529137
2001-01-01,100.833685384422
2001-02-01,100.653225787688
2001-03-01,100.480574279543
2001-04-01,100.308784355942
2001-05-01,100.127058087505
2001-06-01,99.9302053588578
2001-07-01,99.7287952063797
2001-08-01,99.540778618963
2001-09-01,99.3836785769721
2001-10-01,99.2660585664918
2001-11-01,99.1904154738672
2001-12-01,99.1532546387441
2002-01-01,99.1421677345861
2002-02-01,99.1419137896951
2002-03-01,99.138607973887
2002-04-01,99.1231346513551
2002-05-01,99.0896777468241
2002-06-01,99.0351201119103
2002-07-01,98.9597162098439
2002-08-01,98.8661854375896
2002-09-01,98.7602865787714
2002-10-01,98.6526708841408
2002-11-01,98.5560217302572
2002-12-01,98.4823542777428
2003-01-01,98.4395633225073
2003-02-01,98.4340749314032
2003-03-01,98.4712429947424
2003-04-01,98.5530308696608
2003-05-01,98.6785451460532
2003-06-01,98.8412792125923
2003-07-01,99.0230968070353
2003-08-01,99.2018496396705
2003-09-01,99.3575827587651
2003-10-01,99.4789396014404
2003-11-01,99.5609565716496
2003-12-01,99.6052369272339
2004-01-01,99.6228655570529
2004-02-01,99.6281666537198
2004-03-01,99.6343848933764
2004-04-01,99.6503007955286
2004-05-01,99.6813672701065
2004-06-01,99.7301804514138
2004-07-01,99.7958937160343
2004-08-01,99.8761049692334
2004-09-01,99.9675664080587
2004-10-01,100.065899324924
2004-11-01,100.165840026619
2004-12-01,100.261054782388
2005-01-01,100.343912630893
