month_end,genhlth_no_good_18_24_noTrend,genhlth_no_good_25on_noTrend,divorced_widowed_separated_noTrend,avg_close_apple_stock_noTrend,avg_close_atandt_stock_noTrend,avg_close_verizon_stock_noTrend,unemp_per_noTrend,personal_save_rate_noTrend,x24under_suicide_sa_noTrend,x25over_suicide_sa_noTrend,x24under_ment_hlth_sa_noTrend,x25over_ment_hlth_sa_noTrend
1999-02-28,0.00583427251381608,-0.00504055308752206,-0.00368016094345863,-0.045201,-3.12171052631579,0.590180499999995,0.00100000000000001,-0.001,-0.000184587062652218,0.000425914855952317,-0.0225850548892638,0.00730713741636607
1999-03-31,-0.00173152714055806,0.00119298172018617,0.0085567923651132,-0.0237724,-1.44364988558352,-3.97107195,-0.002,-0.003,0.000112376523904927,-0.0007992378494863,0.0115615226582111,-0.0038168913274671
1999-04-30,-0.0010704933901986,0.00235218152860005,-0.000488030539621709,0.04916265,2.88819875776397,3.9570212,0.000999999999999994,-0.00800000000000001,-8.70485171217542e-05,0.00019118709479986,0.00276756551742946,0.00625219595840576
1999-05-31,-0.00321168764526548,0.000577911449649152,-0.00947800914405966,0.05295775,-1.05178571428571,-1.652505,-0.000999999999999994,-0.00199999999999999,-5.61972102125084e-06,-0.000169515985239711,-0.0258920584696896,-0.00279068761603773
1999-06-30,0.00606934905551897,-0.00306370399646985,0.00943412403507077,0.0021485,1.66420454545455,3.81649925,0.000999999999999994,-0.001,-1.80830976508983e-05,-5.38098814794564e-05,0.0141036625017503,0.00310734315754574
1999-07-31,-0.00553887066045724,0.00306826740869255,0.00231723106170234,0.07952,2.78936688311688,3.97669399999999,0,0,-3.70388432231717e-05,0.000106565080951421,0.0225087988961918,-0.00554236394070129
1999-08-31,0.00155701112412178,-0.00197811071510787,-0.00488765873150321,0.0705637,-2.55073051948052,-1.13820625,-0.000999999999999994,-0.001,-4.13135489514245e-07,0.000210043758663708,-0.0188640202997571,-0.00739342479904431
1999-09-30,-0.00091222400621785,0.00329320381828896,0.00286488984645666,0.07082855,-5.27665043290043,1.0117375,0,-0.005,-6.40056357030566e-05,-0.000646930480519139,-0.025773835301386,0.00146894967308447
1999-10-31,0.00351728150167873,-0.0037180173859364,-2.24512247143371e-05,0.02936675,0.404761904761905,0.224831750000007,-0.00100000000000001,0.003,8.01859389773685e-05,0.000532738172437611,0.0156648573603088,0.000440121782467939
1999-11-30,-0.00574883104194291,0.00277260830961232,0.00263469222482443,0.2030413,1.87425595238096,-0.820633050000005,0,0.003,7.23943066224778e-05,0.000579270926171432,0.0212588446940454,0.00884350843967424
1999-12-31,0.00823004875846926,-0.00304394126458165,-8.09597626293956e-05,0.0539342,0.159564393939391,-0.317572699999992,-0.000999999999999994,-0.005,-0.000202491884230782,-0.000287610417448951,-0.0423486540159881,-0.0122633037982858
2000-01-31,-0.00768333837331007,-0.000268344825590579,-0.00955774571954665,0.01649,-9.15852272727273,-4.6287025,0,0.011,0.000229596017947694,0.000234151053253804,0.00875456522448692,0.00741340165316912
2000-02-29,0.0059186782382358,-0.00172366189885106,-0.00774465082394643,0.0930245000000001,-2.578125,-5.02496475,0.000999999999999994,-0.00600000000000001,9.65385048709276e-05,-4.03497169084062e-06,0.0552391816299547,0.0185250877126184
2000-03-31,0.000667572658131273,0.00225383736183652,0.0142784428999154,0.1492745,3.46317934782608,5.92990875,-0.000999999999999994,-0.003,-0.000178644670030047,-0.000483285898683274,-0.0314754848198954,-0.0127116578259508
2000-04-30,-0.00391771677967701,0.00222143654343968,-0.00257163073913713,-0.0863560000000001,1.26576802059497,1.9953725,-0.002,0.005,-4.30953261200844e-05,-1.15511729383644e-05,-0.0141737155051244,-0.00231817322414096
2000-05-31,-9.93314496779418e-05,-0.00291481783083684,0.00394766651137846,-0.204492,-0.936901913875602,-7.6667265,0.002,-0.001,5.11114750175209e-05,2.7793142309932e-05,-0.00101972484715984,-0.00266016298843275
2000-06-30,-0.001770118703,0.00382419954804666,-0.00189371710578756,0.00025099999999989,3.27627840909091,1.1887925,0,0,5.81632054500894e-05,-0.000369630309669051,0.0291698576353266,0.00259934125363304
2000-07-31,-0.00230807389761397,-0.00264207463273684,-0.0010579502004745,0.0516460000000001,-2.77926136363637,-4.4375955,0,0.003,-0.000161129026375183,-7.32921559678428e-05,0.00117875780723226,0.00523578116013002
