Date,Open,High,Low,Close,Adj Close,Volume
2007-04-16,50.200001,57.599998,49.000000,57.099998,47.310051,18917100
2007-04-23,57.200001,59.500000,54.599998,56.799999,47.061485,5452550
2007-04-30,56.959999,58.200001,55.520000,57.599998,47.724323,1392650
2007-05-07,57.400002,63.220001,57.000000,61.820000,51.220795,2362600
2007-05-14,63.000000,74.500000,62.000000,73.160004,60.616524,3352400
2007-05-21,73.360001,73.779999,63.680000,70.019997,58.014877,4262150
2007-05-28,72.279999,74.000000,67.099998,73.180000,60.633091,1814500
2007-06-04,72.860001,73.900002,64.239998,65.099998,53.938427,2245250
2007-06-11,66.040001,71.699997,65.000000,71.199997,58.992565,2920400
2007-06-18,71.620003,73.699997,65.099998,67.660004,56.059513,3546350
2007-06-25,67.540001,70.620003,65.699997,66.080002,54.750408,1446150
2007-07-02,66.120003,70.400002,65.919998,70.339996,58.280014,834950
2007-07-09,70.059998,75.400002,68.540001,74.419998,61.660488,1374200
2007-07-16,75.139999,81.739998,74.419998,78.739998,65.239815,2283900
2007-07-23,79.400002,80.580002,68.239998,70.400002,58.329731,2592350
2007-07-30,72.500000,78.400002,58.200001,62.320000,51.635067,5206950
2007-08-06,63.200001,66.800003,49.500000,55.000000,45.570103,8054650
2007-08-13,56.380001,59.000000,46.500000,52.360001,43.382736,3270800
2007-08-20,52.500000,57.320000,48.020000,56.700001,46.978634,2582200
2007-08-27,56.000000,61.980000,53.139999,54.580002,45.222115,2734550
2007-09-03,57.000000,58.959999,52.400002,54.439999,45.106113,6108350
2007-09-10,57.500000,57.500000,48.000000,50.200001,41.593075,5995550
2007-09-17,50.900002,54.139999,48.959999,53.000000,43.913006,4752500
2007-09-24,53.000000,55.680000,52.580002,54.560001,45.205544,2569450
2007-10-01,53.799999,56.500000,49.180000,49.580002,41.079376,4320250
2007-10-08,49.000000,50.799999,47.799999,49.700001,41.178802,3416450
2007-10-15,49.480000,49.599998,43.439999,43.840000,36.323513,8220950
2007-10-22,43.759998,43.880001,36.959999,42.799999,35.461823,12344050
2007-10-29,42.419998,45.520000,38.000000,43.720001,36.224091,13036800
2007-11-05,42.180000,44.279999,31.660000,32.200001,26.679224,10501900
2007-11-12,32.619999,38.639999,30.540001,37.299999,30.904814,9416950
2007-11-19,36.900002,36.900002,27.540001,31.100000,25.767822,5770300
2007-11-26,31.480000,35.020000,29.959999,34.200001,28.336319,10584300
2007-12-03,34.000000,36.020000,31.620001,35.220001,29.181437,6861400
2007-12-10,35.840000,37.779999,32.799999,36.040001,29.860846,8245300
2007-12-17,35.520000,42.040001,33.820000,41.020000,33.987011,9543500
2007-12-24,40.900002,42.000000,38.560001,39.000000,32.313343,1555250
2007-12-31,38.560001,39.439999,33.500000,34.520000,28.601454,3196150
2008-01-07,34.720001,39.000000,32.020000,34.439999,28.535168,5866800
2008-01-14,35.020000,37.700001,33.220001,34.660000,28.717449,7904450
2008-01-21,33.020000,34.000000,30.480000,33.500000,27.756334,6518150
2008-01-28,32.820000,37.320000,32.060001,37.020000,30.672821,5874950
2008-02-04,37.380001,38.439999,32.820000,33.439999,27.706621,5556300
2008-02-11,33.959999,34.340000,30.840000,32.220001,26.695795,4712750
2008-02-18,32.599998,32.939999,28.719999,29.660000,24.574713,3778850
2008-02-25,29.799999,33.240002,27.360001,31.900000,26.430658,8824550
2008-03-03,32.340000,33.340000,29.540001,32.400002,26.844934,6360100
2008-03-10,32.400002,32.959999,29.840000,30.400000,25.187838,4768750
2008-03-17,29.900000,31.540001,27.840000,31.200001,25.850676,4074900
2008-03-24,30.980000,36.160000,30.520000,33.299999,27.590624,4983750
2008-03-31,33.619999,39.299999,32.840000,37.200001,30.821960,6136500
2008-04-07,39.040001,40.020000,36.259998,36.720001,30.424257,7241000
2008-04-14,36.959999,39.439999,36.400002,38.939999,32.263630,3893800
2008-04-21,38.980000,39.980000,38.500000,39.959999,33.108749,4946500
2008-04-28,39.599998,40.400002,38.759998,39.880001,33.042469,5483000
2008-05-05,39.959999,40.160000,36.939999,39.240002,32.512196,7244350
2008-05-12,39.200001,43.720001,38.740002,43.459999,36.008663,7126650
2008-05-19,43.439999,43.700001,41.200001,42.779999,35.445251,6317300
2008-05-26,43.080002,43.080002,41.799999,42.480000,35.196690,4503800
2008-06-02,42.500000,42.720001,40.060001,41.360001,34.268715,5156350
2008-06-09,41.340000,41.340000,38.119999,38.759998,32.114491,5040100
2008-06-16,38.220001,41.540001,37.500000,37.759998,31.285944,6583300
2008-06-23,37.720001,38.939999,33.500000,34.520000,28.601454,13002500
